arrival_date_year,arrival_date_month,day_name,is_canceled
2015,August,Friday,0.2361111111111111
2015,August,Monday,0.24336283185840707
2015,August,Saturday,0.2736842105263158
2015,August,Sunday,0.14432989690721648
2015,August,Thursday,0.20168067226890757
2015,August,Tuesday,0.15625
2015,August,Wednesday,0.14619883040935672
2015,December,Friday,0.18705035971223022
2015,December,Monday,0.20481927710843373
2015,December,Saturday,0.2019704433497537
2015,December,Sunday,0.1792452830188679
2015,December,Thursday,0.16939890710382513
2015,December,Tuesday,0.30935251798561153
2015,December,Wednesday,0.25748502994011974
2015,July,Friday,0.5348837209302325
2015,July,Monday,0.6833333333333333
2015,July,Saturday,0.3595505617977528
2015,July,Sunday,0.9166666666666666
2015,July,Thursday,0.6885245901639344
2015,July,Tuesday,0.75
2015,July,Wednesday,0.5324675324675324
2015,November,Friday,0.22302158273381295
2015,November,Monday,0.17582417582417584
2015,November,Saturday,0.21333333333333335
2015,November,Sunday,0.11627906976744186
2015,November,Thursday,0.17
2015,November,Tuesday,0.16831683168316833
2015,November,Wednesday,0.12280701754385964
2015,October,Friday,0.16923076923076924
2015,October,Monday,0.16483516483516483
2015,October,Saturday,0.2548076923076923
2015,October,Sunday,0.1642512077294686
2015,October,Thursday,0.21367521367521367
2015,October,Tuesday,0.16393442622950818
2015,October,Wednesday,0.17010309278350516
2015,September,Friday,0.22611464968152867
2015,September,Monday,0.1906779661016949
2015,September,Saturday,0.19008264462809918
2015,September,Sunday,0.17575757575757575
2015,September,Thursday,0.20689655172413793
2015,September,Tuesday,0.12017167381974249
2015,September,Wednesday,0.18705035971223022
2016,April,Friday,0.34838709677419355
2016,April,Monday,0.2471264367816092
2016,April,Saturday,0.32160804020100503
2016,April,Sunday,0.3519736842105263
2016,April,Thursday,0.3224852071005917
2016,April,Tuesday,0.2620967741935484
2016,April,Wednesday,0.2903225806451613
2016,August,Friday,0.3231197771587744
2016,August,Monday,0.35793357933579334
2016,August,Saturday,0.34196891191709844
2016,August,Sunday,0.2853333333333333
2016,August,Thursday,0.28802588996763756
2016,August,Tuesday,0.3155339805825243
2016,August,Wednesday,0.3248259860788863
2016,December,Friday,0.44473684210526315
2016,December,Monday,0.4232209737827715
2016,December,Saturday,0.35231316725978645
2016,December,Sunday,0.3148148148148148
2016,December,Thursday,0.4032258064516129
2016,December,Tuesday,0.30996309963099633
2016,December,Wednesday,0.36015325670498083
2016,February,Friday,0.2619718309859155
2016,February,Monday,0.18376068376068377
2016,February,Saturday,0.21875
2016,February,Sunday,0.2445414847161572
2016,February,Thursday,0.2300469483568075
2016,February,Tuesday,0.2204724409448819
2016,February,Wednesday,0.1978021978021978
2016,January,Friday,0.2639593908629442
2016,January,Monday,0.16216216216216217
2016,January,Saturday,0.20994475138121546
2016,January,Sunday,0.15517241379310345
2016,January,Thursday,0.24285714285714285
2016,January,Tuesday,0.20754716981132076
2016,January,Wednesday,0.16666666666666666
2016,July,Friday,0.2596685082872928
2016,July,Monday,0.31297709923664124
2016,July,Saturday,0.2909930715935335
2016,July,Sunday,0.2443820224719101
2016,July,Thursday,0.3074433656957929
2016,July,Tuesday,0.2264808362369338
2016,July,Wednesday,0.2514450867052023
2016,June,Friday,0.24225352112676057
2016,June,Monday,0.21588089330024815
2016,June,Saturday,0.22093023255813954
2016,June,Sunday,0.2622478386167147
2016,June,Thursday,0.3452685421994885
2016,June,Tuesday,0.2640845070422535
2016,June,Wednesday,0.30120481927710846
2016,March,Friday,0.336734693877551
2016,March,Monday,0.19205298013245034
2016,March,Saturday,0.3107142857142857
2016,March,Sunday,0.21484375
2016,March,Thursday,0.3116591928251121
2016,March,Tuesday,0.2476489028213166
2016,March,Wednesday,0.2587601078167116
2016,May,Friday,0.3443708609271523
2016,May,Monday,0.21956521739130436
2016,May,Saturday,0.3708609271523179
2016,May,Sunday,0.26109660574412535
2016,May,Thursday,0.25766871165644173
2016,May,Tuesday,0.24382716049382716
2016,May,Wednesday,0.2571428571428571
2016,November,Friday,0.32
2016,November,Monday,0.20168067226890757
2016,November,Saturday,0.3473282442748092
2016,November,Sunday,0.33807829181494664
2016,November,Thursday,0.2653846153846154
2016,November,Tuesday,0.250996015936255
2016,November,Wednesday,0.2686084142394822
2016,October,Friday,0.3168831168831169
2016,October,Monday,0.2863070539419087
2016,October,Saturday,0.3904494382022472
2016,October,Sunday,0.3002159827213823
2016,October,Thursday,0.3209549071618037
2016,October,Tuesday,0.2939189189189189
2016,October,Wednesday,0.3159722222222222
2016,September,Friday,0.3119266055045872
2016,September,Monday,0.2956730769230769
2016,September,Saturday,0.3018867924528302
2016,September,Sunday,0.28974358974358977
2016,September,Thursday,0.32238193018480493
2016,September,Tuesday,0.26421404682274247
2016,September,Wednesday,0.241635687732342
2017,April,Friday,0.4192139737991266
2017,April,Monday,0.32169576059850374
2017,April,Saturday,0.45076586433260396
2017,April,Sunday,0.34549878345498786
2017,April,Thursday,0.37866666666666665
2017,April,Tuesday,0.31906614785992216
2017,April,Wednesday,0.35294117647058826
2017,August,Friday,0.38414634146341464
2017,August,Monday,0.32887700534759357
2017,August,Saturday,0.37752161383285304
2017,August,Sunday,0.29714285714285715
2017,August,Thursday,0.3888888888888889
2017,August,Tuesday,0.356234096692112
2017,August,Wednesday,0.4023529411764706
2017,February,Friday,0.358974358974359
2017,February,Monday,0.31044776119402984
2017,February,Saturday,0.3484848484848485
2017,February,Sunday,0.24926686217008798
2017,February,Thursday,0.2974910394265233
2017,February,Tuesday,0.29910714285714285
2017,February,Wednesday,0.2962962962962963
2017,January,Friday,0.39344262295081966
2017,January,Monday,0.3333333333333333
2017,January,Saturday,0.34299516908212563
2017,January,Sunday,0.30578512396694213
2017,January,Thursday,0.325
2017,January,Tuesday,0.288
2017,January,Wednesday,0.27467811158798283
2017,July,Friday,0.38529411764705884
2017,July,Monday,0.33629893238434166
2017,July,Saturday,0.3614457831325301
2017,July,Sunday,0.3356009070294785
2017,July,Thursday,0.36061381074168797
2017,July,Tuesday,0.29878048780487804
2017,July,Wednesday,0.33554817275747506
2017,June,Friday,0.3588621444201313
2017,June,Monday,0.3117505995203837
2017,June,Saturday,0.3547297297297297
2017,June,Sunday,0.2861356932153392
2017,June,Thursday,0.38811881188118813
2017,June,Tuesday,0.29973474801061006
2017,June,Wednesday,0.3180428134556575
2017,March,Friday,0.32842105263157895
2017,March,Monday,0.2668621700879765
2017,March,Saturday,0.2958801498127341
2017,March,Sunday,0.2408026755852843
2017,March,Thursday,0.33986928104575165
2017,March,Tuesday,0.27715355805243447
2017,March,Wednesday,0.23746701846965698
2017,May,Friday,0.40497737556561086
2017,May,Monday,0.3804143126177024
2017,May,Saturday,0.3850267379679144
2017,May,Sunday,0.3076923076923077
2017,May,Thursday,0.3770491803278688
2017,May,Tuesday,0.27455357142857145
2017,May,Wednesday,0.3775933609958506
